,Unnamed: 0,PROVINCIA,CITY,CPA,ERROR
390,390,Buenos-Aires,calles-de-Barrio-Julio-de-Vedia,Buscar CPA,
397,397,Buenos-Aires,calles-de-Barrio-la-Dolly,Buscar CPA,
405,405,Buenos-Aires,calles-de-Barrio-Parque-Leloir,Buscar CPA,
406,406,Buenos-Aires,calles-de-Barrio-Parque-Leloir,Buscar CPA,
408,408,Buenos-Aires,calles-de-Barrio-Pedro-Rocco,Buscar CPA,
409,409,Buenos-Aires,calles-de-Barrio-Pedro-Rocco,Buscar CPA,
411,411,Buenos-Aires,calles-de-Barrio-Pedro-Rocco,Buscar CPA,
423,423,Buenos-Aires,calles-de-Barrio-Pueblo-Nuevo,Buscar CPA,
429,429,Buenos-Aires,calles-de-Barrio-San-Alejo,Buscar CPA,
430,430,Buenos-Aires,calles-de-Barrio-San-Alejo,Buscar CPA,
449,449,Buenos-Aires,calles-de-Barrio-San-Jacinto,Buscar CPA,
450,450,Buenos-Aires,calles-de-Barrio-San-Jacinto,Buscar CPA,
458,458,Buenos-Aires,calles-de-Barrio-Tierra-de-Oro,Buscar CPA,
468,468,Buenos-Aires,calles-de-Barrio-Trocha,Buscar CPA,
479,479,Buenos-Aires,calles-de-Belen-de-Escobar,Buscar CPA,
480,480,Buenos-Aires,calles-de-Belen-de-Escobar,Buscar CPA,
482,482,Buenos-Aires,calles-de-Belen-de-Escobar,Buscar CPA,
502,502,Buenos-Aires,calles-de-Bordenave,Buscar CPA,
504,504,Buenos-Aires,calles-de-Bosch,Buscar CPA,
518,518,Buenos-Aires,calles-de-Brandsen,Buscar CPA,
527,527,Buenos-Aires,calles-de-Bravo-del-Dos,Buscar CPA,
530,530,Buenos-Aires,calles-de-Cachari,Buscar CPA,
536,536,Buenos-Aires,calles-de-Cailomuta,Buscar CPA,
538,538,Buenos-Aires,calles-de-Caminera-Samborombon,Buscar CPA,
555,555,Buenos-Aires,calles-de-Camino-Centenario-Km-11500,Buscar CPA,
556,556,Buenos-Aires,calles-de-Camino-Centenario-Km-11500,Buscar CPA,
562,562,Buenos-Aires,calles-de-Campana,Buscar CPA,
567,567,Buenos-Aires,calles-de-Campana,Buscar CPA,
571,571,Buenos-Aires,calles-de-Campo-Funke,Buscar CPA,
589,589,Buenos-Aires,calles-de-Campo-la-Zulema,Buscar CPA,
604,604,Buenos-Aires,calles-de-Campo-Rojas,Buscar CPA,
612,612,Buenos-Aires,calles-de-Campo-Sabate,Buscar CPA,
634,634,Buenos-Aires,calles-de-Canal-Martin-Irigoyen,Buscar CPA,
635,635,Buenos-Aires,calles-de-Canal-Martin-Irigoyen,Buscar CPA,
670,670,Buenos-Aires,calles-de-Cancha-del-Pollo,Buscar CPA,
690,690,Buenos-Aires,calles-de-Canonigo-Gorriti,Buscar CPA,
705,705,Buenos-Aires,calles-de-Cantera-Albion,Buscar CPA,
724,724,Buenos-Aires,calles-de-Cantera-la-Aurora,Buscar CPA,
743,743,Buenos-Aires,calles-de-Cantera-la-Federacion,Buscar CPA,
762,762,Buenos-Aires,calles-de-Cantera-la-Movediza,Buscar CPA,
781,781,Buenos-Aires,calles-de-Cantera-Monte-Cristo,Buscar CPA,
800,800,Buenos-Aires,calles-de-Cantera-San-Luis,Buscar CPA,
811,811,Buenos-Aires,calles-de-Capdepont,Buscar CPA,
818,818,Buenos-Aires,calles-de-Capitan-Sarmiento,Buscar CPA,
822,822,Buenos-Aires,calles-de-Capitan-Sarmiento,Buscar CPA,
825,825,Buenos-Aires,calles-de-Carabelas,Buscar CPA,
827,827,Buenos-Aires,calles-de-Carabelas,Buscar CPA,
830,830,Buenos-Aires,calles-de-Carapachay,Buscar CPA,
831,831,Buenos-Aires,calles-de-Carapachay,Buscar CPA,
832,832,Buenos-Aires,calles-de-Carapachay,Buscar CPA,
838,838,Buenos-Aires,calles-de-Carlos-Casares,Buscar CPA,
841,841,Buenos-Aires,calles-de-Carlos-Lemee,Buscar CPA,
850,850,Buenos-Aires,calles-de-Carlos-Maria-Naon,Buscar CPA,
855,855,Buenos-Aires,calles-de-Carlos-Spegazzini,Buscar CPA,
856,856,Buenos-Aires,calles-de-Carlos-Spegazzini,Buscar CPA,
858,858,Buenos-Aires,calles-de-Carmen-de-Patagones,Buscar CPA,
864,864,Buenos-Aires,calles-de-Carmen-de-Patagones,Buscar CPA,
865,865,Buenos-Aires,calles-de-Casalins,Buscar CPA,
